agent,scenario,corr_lb,corr_med,corr_ub,r_mean,r_lb,r_ub,r_med
human,clothiness,0.0579954138577273,0.3521213821421205,0.5554252630764619,0.9454214240415124,0.9225602019150667,0.9596948105317341,0.9466726273834882
human,collision,0.395291105015402,0.6316085223310306,0.77716084324109,0.987168973711388,0.9822249993199755,0.9908464366070938,0.9874553752752783
human,containment,0.3061219424916179,0.559037767567365,0.7250130911183132,0.9808951049734647,0.9744797445081333,0.9859500104873821,0.9809785162194005
human,dominoes,0.23063677866552737,0.4267045976501318,0.5925603930215264,0.9685277954916797,0.9590160044188029,0.976587213885743,0.9687978625970621
human,drop,0.292349093116681,0.5081460953577408,0.6833817470836279,0.9785563746123417,0.9711881937959572,0.9842481842220961,0.9787388470363299
human,linking,0.1130115339671295,0.3917080847986929,0.5791893893293776,0.9589895734478747,0.9429513772600424,0.9699341595567036,0.9594984534668638
human,rollingsliding,0.4679215196088504,0.685346352425698,0.8590206832753542,0.9896079514470421,0.9846596694225318,0.9933119137942978,0.9897939950679766
human,towers,0.32565300134240965,0.5675388505360994,0.7257224352620535,0.9823054147469632,0.9752239003392446,0.9876101511334004,0.9825792668026492
