agent,scenario,obs_mean,boot_mean,ci_lb,ci_ub,pct_2.5,pct_97.5
human,collision,0.8085106382978725,0.8084846808510637,0.7987925531914892,0.8176595744680851,0.7043333333333334,0.8800000000000001
human,rollingsliding,0.8829861111111109,0.8829480555555556,0.8754114583333332,0.8906961805555554,0.7891666666666666,0.94
human,dominoes,0.6927906976744185,0.6926998449612403,0.6843410852713178,0.7011627906976744,0.6141666666666666,0.76
human,drop,0.7436559139784947,0.7437217921146952,0.7354103942652332,0.751326164874552,0.6666666666666666,0.8046666666666668
human,clothiness,0.67775,0.6780205833333335,0.66465625,0.6907541666666667,0.5461666666666667,0.7674999999999997
human,linking,0.6431818181818181,0.6432338636363636,0.631967803030303,0.6545454545454544,0.5368333333333333,0.7443333333333333
human,containment,0.766987951807229,0.7668923694779116,0.7580722891566265,0.7750261044176706,0.6866666666666666,0.8396666666666667
human,towers,0.7631372549019607,0.7630115294117648,0.7549745098039217,0.7709823529411766,0.6693333333333332,0.826
