agent,scenario,corr_lb,corr_med,corr_ub
human,clothiness,0.054681427544839956,0.34244135885142585,0.547615121251353
human,collision,0.3861209964412812,0.6242619431025228,0.7737596390751016
human,containment,0.28480604220942174,0.5466666666666666,0.7199865470852017
human,dominoes,0.2085996402608109,0.4122471295790049,0.5852991272166442
human,drop,0.2819594477363679,0.5008319467554077,0.6793530033052819
human,linking,0.11038265360063716,0.37488916474552225,0.5698615885238079
human,rollingsliding,0.451978597540433,0.6764570904084443,0.8561559679198485
human,towers,0.31148462757869716,0.5520361403949816,0.7206728618953326
