stim_ID,correct,c
pilot-containment-vase_0013_img,0.94,100
pilot-containment-vase_0014_img,0.79,100
pilot-containment-vase_0015_img,0.82,100
pilot-containment-vase_0016_img,0.63,100
pilot-containment-vase_0018_img,0.53,100
pilot-containment-vase_0019_img,0.86,100
pilot-containment-vase_0020_img,0.99,100
pilot-containment-vase_0021_img,0.86,100
pilot-containment-vase_0022_img,0.92,100
pilot-containment-vase_0023_img,0.9,100
pilot-containment-vase_0024_img,0.92,100
