stim_ID,correct,c
pilot_it2_collision_zone_jitter_box_0009_img,0.65,20
pilot_it2_collision_zone_jitter_box_1_dis_1_occ_0002_img,0.95,20
pilot_it2_collision_zone_jitter_box_1_dis_1_occ_0003_img,0.95,20
pilot_it2_collision_zone_jitter_box_1_dis_1_occ_0005_img,1.0,20
pilot_it2_collision_zone_jitter_box_1_dis_1_occ_0006_img,1.0,20
pilot_it2_collision_zone_jitter_box_2_dis_2_occ_0001_img,0.95,20
pilot_it2_collision_zone_jitter_box_2_dis_2_occ_0003_img,1.0,20
pilot_it2_collision_zone_jitter_box_2_dis_2_occ_0007_img,1.0,20
pilot_it2_collision_zone_jitter_box_2_dis_2_occ_0009_img,0.9,20
pilot_it2_collision_zone_jitter_tdw_1_dis_1_occ_0001_img,0.75,20
pilot_it2_collision_zone_jitter_tdw_1_dis_1_occ_0002_img,0.9,20
pilot_it2_collision_zone_jitter_tdw_1_dis_1_occ_0007_img,0.9,20
pilot_it2_collision_zone_jitter_tdw_1_dis_1_occ_0009_img,1.0,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0000_img,0.95,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0001_img,0.95,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0002_img,0.95,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0003_img,0.75,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0004_img,1.0,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0006_img,1.0,20
pilot_it2_collision_zone_jitter_tdw_2_dis_2_occ_0007_img,0.9,20
