stim_ID,correct,c
pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ_0008_img,0.86,100
pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ_0010_img,0.77,100
pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ_0011_img,0.98,100
pilot_it2_rollingSliding_simple_ledge_box_1_dis_1_occ_0012_img,0.98,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0000_img,0.95,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0001_img,1.0,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0002_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0003_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0004_img,0.98,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0006_img,0.43,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0007_img,0.85,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0008_img,0.99,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0009_img,0.91,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0010_img,0.84,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0011_img,0.83,100
pilot_it2_rollingSliding_simple_ledge_box_2_dis_2_occ_0012_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0000_img,0.89,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0001_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0002_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0003_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0004_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0008_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0010_img,0.5,100
pilot_it2_rollingSliding_simple_ledge_tdw_1_dis_1_occ_0012_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0000_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0001_img,0.84,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0002_img,0.83,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0003_img,0.94,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0004_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0005_img,1.0,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0006_img,0.82,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0007_img,0.98,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0008_img,1.0,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0009_img,0.98,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0010_img,0.99,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0011_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_tdw_2_dis_2_occ_0012_img,0.94,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0000_img,0.53,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0001_img,0.91,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0002_img,0.3,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0003_img,0.88,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0004_img,0.91,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0005_img,0.91,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0006_img,0.84,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0007_img,0.39,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0008_img,0.65,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0009_img,0.88,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0010_img,0.61,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0011_img,0.59,100
pilot_it2_rollingSliding_simple_ramp_box_1_dis_1_occ_0012_img,0.83,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0000_img,0.96,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0001_img,0.82,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0003_img,0.55,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0005_img,0.94,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0006_img,0.89,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0007_img,0.94,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0008_img,0.79,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0009_img,0.97,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0010_img,0.74,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0011_img,0.59,100
pilot_it2_rollingSliding_simple_ramp_box_2_dis_2_occ_0012_img,0.18,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0000_img,0.95,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0001_img,0.89,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0002_img,0.21,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0003_img,0.93,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0004_img,0.96,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0005_img,0.93,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0006_img,0.86,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0007_img,0.89,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0008_img,0.85,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0010_img,0.91,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0011_img,0.92,100
pilot_it2_rollingSliding_simple_ramp_tdw_1_dis_1_occ_0012_img,0.96,100
